utc,timestamp,door_count,battery_life,
1590149759,Fri 22 May 2020 02:15:59 PM CEST,6,59,
1590149782,Fri 22 May 2020 02:16:22 PM CEST,16,32,
1590149841,Fri 22 May 2020 02:17:21 PM CEST,37,70,
1590149868,Fri 22 May 2020 02:17:48 PM CEST,5,44,
1590149886,Fri 22 May 2020 02:18:06 PM CEST,22,20,
1590149907,Fri 22 May 2020 02:18:27 PM CEST,21,99,
1590149952,Fri 22 May 2020 02:19:12 PM CEST,1,96,
1590149985,Fri 22 May 2020 02:19:45 PM CEST,31,50,
1590150027,Fri 22 May 2020 02:20:27 PM CEST,18,72,
1590150060,Fri 22 May 2020 02:21:00 PM CEST,20,93,
1590150073,Fri 22 May 2020 02:21:13 PM CEST,10,11,
1590150125,Fri 22 May 2020 02:22:05 PM CEST,28,97,
1590150131,Fri 22 May 2020 02:22:11 PM CEST,49,58,
1590150172,Fri 22 May 2020 02:22:52 PM CEST,19,58,
1590150212,Fri 22 May 2020 02:23:32 PM CEST,3,3,
1590150214,Fri 22 May 2020 02:23:34 PM CEST,2,71,
1590150236,Fri 22 May 2020 02:23:56 PM CEST,16,85,
1590150262,Fri 22 May 2020 02:24:22 PM CEST,32,46,
1590150304,Fri 22 May 2020 02:25:04 PM CEST,35,6,
1590150308,Fri 22 May 2020 02:25:08 PM CEST,21,24,
1590150334,Fri 22 May 2020 02:25:34 PM CEST,23,14,
1590150336,Fri 22 May 2020 02:25:36 PM CEST,17,28,
1590150346,Fri 22 May 2020 02:25:46 PM CEST,5,0,
1590150351,Fri 22 May 2020 02:25:51 PM CEST,16,64,
1590150385,Fri 22 May 2020 02:26:25 PM CEST,36,60,
1590150425,Fri 22 May 2020 02:27:05 PM CEST,47,4,
1590150474,Fri 22 May 2020 02:27:54 PM CEST,1,49,
1590150484,Fri 22 May 2020 02:28:04 PM CEST,20,64,
1590150509,Fri 22 May 2020 02:28:29 PM CEST,45,11,
1590150534,Fri 22 May 2020 02:28:55 PM CEST,14,74,
1590150551,Fri 22 May 2020 02:29:11 PM CEST,36,67,
1590150590,Fri 22 May 2020 02:29:50 PM CEST,8,18,
1590150641,Fri 22 May 2020 02:30:41 PM CEST,7,66,
1590150682,Fri 22 May 2020 02:31:22 PM CEST,6,14,
1590150707,Fri 22 May 2020 02:31:47 PM CEST,25,90,
1590150749,Fri 22 May 2020 02:32:29 PM CEST,17,24,
1590150756,Fri 22 May 2020 02:32:36 PM CEST,20,63,
1590150800,Fri 22 May 2020 02:33:20 PM CEST,42,43,
1590150823,Fri 22 May 2020 02:33:43 PM CEST,15,73,
1590150861,Fri 22 May 2020 02:34:21 PM CEST,24,97,
1590150904,Fri 22 May 2020 02:35:04 PM CEST,32,30,
1590150956,Fri 22 May 2020 02:35:56 PM CEST,0,9,
1590151009,Fri 22 May 2020 02:36:49 PM CEST,4,85,
1590151026,Fri 22 May 2020 02:37:06 PM CEST,43,59,
1590151044,Fri 22 May 2020 02:37:24 PM CEST,18,44,
1590151054,Fri 22 May 2020 02:37:34 PM CEST,40,28,
1590151075,Fri 22 May 2020 02:37:55 PM CEST,4,75,
1590151112,Fri 22 May 2020 02:38:32 PM CEST,30,66,
1590151137,Fri 22 May 2020 02:38:57 PM CEST,9,26,
1590151143,Fri 22 May 2020 02:39:03 PM CEST,3,28,
1590151148,Fri 22 May 2020 02:39:08 PM CEST,37,51,
1590151165,Fri 22 May 2020 02:39:25 PM CEST,1,6,
1590151196,Fri 22 May 2020 02:39:56 PM CEST,47,67,
1590151247,Fri 22 May 2020 02:40:47 PM CEST,34,86,
1590151272,Fri 22 May 2020 02:41:12 PM CEST,10,1,
1590151280,Fri 22 May 2020 02:41:20 PM CEST,26,66,
1590151309,Fri 22 May 2020 02:41:49 PM CEST,41,74,
1590151357,Fri 22 May 2020 02:42:37 PM CEST,29,35,
1590151370,Fri 22 May 2020 02:42:50 PM CEST,15,93,
1590151372,Fri 22 May 2020 02:42:52 PM CEST,20,60,
1590151421,Fri 22 May 2020 02:43:41 PM CEST,17,77,
1590151468,Fri 22 May 2020 02:44:28 PM CEST,13,18,
1590151503,Fri 22 May 2020 02:45:03 PM CEST,46,89,
1590151557,Fri 22 May 2020 02:45:57 PM CEST,0,86,
1590151572,Fri 22 May 2020 02:46:12 PM CEST,33,21,
1590151599,Fri 22 May 2020 02:46:39 PM CEST,15,29,
1590151627,Fri 22 May 2020 02:47:07 PM CEST,25,6,
1590151648,Fri 22 May 2020 02:47:28 PM CEST,45,51,
1590151665,Fri 22 May 2020 02:47:45 PM CEST,2,93,
1590151690,Fri 22 May 2020 02:48:10 PM CEST,27,20,
1590151716,Fri 22 May 2020 02:48:36 PM CEST,0,93,
1590151735,Fri 22 May 2020 02:48:55 PM CEST,43,80,
1590151736,Fri 22 May 2020 02:48:56 PM CEST,32,71,
1590151770,Fri 22 May 2020 02:49:30 PM CEST,24,46,
1590151818,Fri 22 May 2020 02:50:18 PM CEST,4,12,
1590151870,Fri 22 May 2020 02:51:10 PM CEST,20,11,
1590151890,Fri 22 May 2020 02:51:30 PM CEST,7,65,
1590151914,Fri 22 May 2020 02:51:54 PM CEST,2,4,
1590151970,Fri 22 May 2020 02:52:50 PM CEST,10,65,
1590152028,Fri 22 May 2020 02:53:48 PM CEST,8,67,
1590152059,Fri 22 May 2020 02:54:19 PM CEST,35,11,
1590152076,Fri 22 May 2020 02:54:36 PM CEST,16,2,
1590152117,Fri 22 May 2020 02:55:17 PM CEST,41,50,
1590152148,Fri 22 May 2020 02:55:48 PM CEST,5,17,
1590152165,Fri 22 May 2020 02:56:05 PM CEST,27,67,
1590152222,Fri 22 May 2020 02:57:02 PM CEST,13,93,
1590152249,Fri 22 May 2020 02:57:29 PM CEST,9,21,
1590152259,Fri 22 May 2020 02:57:39 PM CEST,40,88,
1590152268,Fri 22 May 2020 02:57:48 PM CEST,45,80,
1590152280,Fri 22 May 2020 02:58:00 PM CEST,30,5,
1590152338,Fri 22 May 2020 02:58:58 PM CEST,49,11,
1590152394,Fri 22 May 2020 02:59:54 PM CEST,10,51,
1590152427,Fri 22 May 2020 03:00:27 PM CEST,15,9,
1590152467,Fri 22 May 2020 03:01:07 PM CEST,14,2,
1590152522,Fri 22 May 2020 03:02:02 PM CEST,34,27,
1590152578,Fri 22 May 2020 03:02:58 PM CEST,40,66,
1590152602,Fri 22 May 2020 03:03:22 PM CEST,38,71,
1590152613,Fri 22 May 2020 03:03:33 PM CEST,0,98,
1590152656,Fri 22 May 2020 03:04:16 PM CEST,3,29,
1590152673,Fri 22 May 2020 03:04:33 PM CEST,46,64,
1590152724,Fri 22 May 2020 03:05:24 PM CEST,48,65,
1590152742,Fri 22 May 2020 03:05:42 PM CEST,1,78,
1590152747,Fri 22 May 2020 03:05:47 PM CEST,5,86,
1590152768,Fri 22 May 2020 03:06:08 PM CEST,0,70,
1590152825,Fri 22 May 2020 03:07:05 PM CEST,23,55,
1590152826,Fri 22 May 2020 03:07:06 PM CEST,39,11,
1590152844,Fri 22 May 2020 03:07:24 PM CEST,41,55,
1590152876,Fri 22 May 2020 03:07:56 PM CEST,43,61,
1590152898,Fri 22 May 2020 03:08:18 PM CEST,39,66,
1590152901,Fri 22 May 2020 03:08:21 PM CEST,48,0,
1590152921,Fri 22 May 2020 03:08:41 PM CEST,11,20,
1590152934,Fri 22 May 2020 03:08:54 PM CEST,46,32,
1590152991,Fri 22 May 2020 03:09:51 PM CEST,42,53,
1590153014,Fri 22 May 2020 03:10:14 PM CEST,4,76,
1590153069,Fri 22 May 2020 03:11:09 PM CEST,37,95,
1590153081,Fri 22 May 2020 03:11:21 PM CEST,10,15,
1590153131,Fri 22 May 2020 03:12:11 PM CEST,7,18,
1590153156,Fri 22 May 2020 03:12:36 PM CEST,21,4,
1590153161,Fri 22 May 2020 03:12:41 PM CEST,41,1,
1590153198,Fri 22 May 2020 03:13:18 PM CEST,19,51,
1590153204,Fri 22 May 2020 03:13:24 PM CEST,25,98,
1590153222,Fri 22 May 2020 03:13:42 PM CEST,5,94,
1590153264,Fri 22 May 2020 03:14:24 PM CEST,33,46,
1590153265,Fri 22 May 2020 03:14:25 PM CEST,6,11,
1590153303,Fri 22 May 2020 03:15:03 PM CEST,31,21,
1590153325,Fri 22 May 2020 03:15:25 PM CEST,42,72,
1590153377,Fri 22 May 2020 03:16:17 PM CEST,21,13,
1590153424,Fri 22 May 2020 03:17:04 PM CEST,20,25,
1590153483,Fri 22 May 2020 03:18:03 PM CEST,40,92,
1590153515,Fri 22 May 2020 03:18:35 PM CEST,23,76,
1590153572,Fri 22 May 2020 03:19:32 PM CEST,34,0,
1590153627,Fri 22 May 2020 03:20:27 PM CEST,6,52,
1590153678,Fri 22 May 2020 03:21:18 PM CEST,35,62,
1590153730,Fri 22 May 2020 03:22:10 PM CEST,41,70,
1590153769,Fri 22 May 2020 03:22:49 PM CEST,5,77,
1590153770,Fri 22 May 2020 03:22:50 PM CEST,37,11,
1590153825,Fri 22 May 2020 03:23:45 PM CEST,13,60,
1590153846,Fri 22 May 2020 03:24:06 PM CEST,6,95,
1590153893,Fri 22 May 2020 03:24:53 PM CEST,1,52,
1590153947,Fri 22 May 2020 03:25:47 PM CEST,21,69,
1590153976,Fri 22 May 2020 03:26:16 PM CEST,11,52,
1590153992,Fri 22 May 2020 03:26:32 PM CEST,3,62,
1590154002,Fri 22 May 2020 03:26:42 PM CEST,25,78,
1590154041,Fri 22 May 2020 03:27:21 PM CEST,39,72,
1590154070,Fri 22 May 2020 03:27:50 PM CEST,21,55,
1590154090,Fri 22 May 2020 03:28:10 PM CEST,38,52,
1590154109,Fri 22 May 2020 03:28:29 PM CEST,33,73,
1590154166,Fri 22 May 2020 03:29:26 PM CEST,12,17,
1590154221,Fri 22 May 2020 03:30:21 PM CEST,32,36,
1590154262,Fri 22 May 2020 03:31:02 PM CEST,13,55,
1590154315,Fri 22 May 2020 03:31:55 PM CEST,33,87,
1590154335,Fri 22 May 2020 03:32:15 PM CEST,29,61,
1590154357,Fri 22 May 2020 03:32:37 PM CEST,37,5,
1590154415,Fri 22 May 2020 03:33:35 PM CEST,8,71,
1590154436,Fri 22 May 2020 03:33:56 PM CEST,16,38,
1590154443,Fri 22 May 2020 03:34:03 PM CEST,8,4,
1590154469,Fri 22 May 2020 03:34:29 PM CEST,40,13,
1590154473,Fri 22 May 2020 03:34:33 PM CEST,12,11,
1590154505,Fri 22 May 2020 03:35:05 PM CEST,25,50,
1590154521,Fri 22 May 2020 03:35:21 PM CEST,28,88,
1590154542,Fri 22 May 2020 03:35:42 PM CEST,18,2,
1590154570,Fri 22 May 2020 03:36:10 PM CEST,13,2,
1590154600,Fri 22 May 2020 03:36:40 PM CEST,15,14,
1590154618,Fri 22 May 2020 03:36:58 PM CEST,27,21,
1590154669,Fri 22 May 2020 03:37:49 PM CEST,37,37,
1590154695,Fri 22 May 2020 03:38:15 PM CEST,19,40,
1590154715,Fri 22 May 2020 03:38:35 PM CEST,24,80,
1590154751,Fri 22 May 2020 03:39:11 PM CEST,47,43,
1590154755,Fri 22 May 2020 03:39:15 PM CEST,16,47,
1590154761,Fri 22 May 2020 03:39:21 PM CEST,20,51,
1590154818,Fri 22 May 2020 03:40:18 PM CEST,23,21,
1590154838,Fri 22 May 2020 03:40:38 PM CEST,2,68,
1590154880,Fri 22 May 2020 03:41:20 PM CEST,45,55,
1590154930,Fri 22 May 2020 03:42:10 PM CEST,45,19,
1590154988,Fri 22 May 2020 03:43:08 PM CEST,0,18,
1590154999,Fri 22 May 2020 03:43:19 PM CEST,47,1,
1590155002,Fri 22 May 2020 03:43:22 PM CEST,40,11,
1590155036,Fri 22 May 2020 03:43:56 PM CEST,43,91,
1590155094,Fri 22 May 2020 03:44:54 PM CEST,18,67,
1590155107,Fri 22 May 2020 03:45:07 PM CEST,12,6,
1590155117,Fri 22 May 2020 03:45:17 PM CEST,48,74,
1590155140,Fri 22 May 2020 03:45:40 PM CEST,8,35,
1590155158,Fri 22 May 2020 03:45:58 PM CEST,33,68,
1590155172,Fri 22 May 2020 03:46:12 PM CEST,22,27,
1590155227,Fri 22 May 2020 03:47:07 PM CEST,42,94,
1590155273,Fri 22 May 2020 03:47:53 PM CEST,2,1,
1590155275,Fri 22 May 2020 03:47:55 PM CEST,36,69,
1590155298,Fri 22 May 2020 03:48:18 PM CEST,21,4,
1590155328,Fri 22 May 2020 03:48:48 PM CEST,24,75,
1590155379,Fri 22 May 2020 03:49:39 PM CEST,18,47,
1590155412,Fri 22 May 2020 03:50:12 PM CEST,15,91,
1590155441,Fri 22 May 2020 03:50:41 PM CEST,19,37,
1590155490,Fri 22 May 2020 03:51:30 PM CEST,4,36,
1590155537,Fri 22 May 2020 03:52:17 PM CEST,44,40,
1590155595,Fri 22 May 2020 03:53:15 PM CEST,13,80,
1590155631,Fri 22 May 2020 03:53:51 PM CEST,22,30,
1590155655,Fri 22 May 2020 03:54:15 PM CEST,28,54,
1590155660,Fri 22 May 2020 03:54:20 PM CEST,17,68,
1590155706,Fri 22 May 2020 03:55:06 PM CEST,41,6,
1590155729,Fri 22 May 2020 03:55:29 PM CEST,39,4,
1590155737,Fri 22 May 2020 03:55:37 PM CEST,3,73,
1590155777,Fri 22 May 2020 03:56:17 PM CEST,16,83,
1590155827,Fri 22 May 2020 03:57:07 PM CEST,37,75,
1590155845,Fri 22 May 2020 03:57:25 PM CEST,14,89,
1590155898,Fri 22 May 2020 03:58:18 PM CEST,39,56,
1590155925,Fri 22 May 2020 03:58:45 PM CEST,33,0,
1590155938,Fri 22 May 2020 03:58:58 PM CEST,12,7,
1590155939,Fri 22 May 2020 03:58:59 PM CEST,23,33,
1590155974,Fri 22 May 2020 03:59:34 PM CEST,13,55,
1590155994,Fri 22 May 2020 03:59:54 PM CEST,16,70,
1590156028,Fri 22 May 2020 04:00:28 PM CEST,0,40,
1590156047,Fri 22 May 2020 04:00:47 PM CEST,8,18,
1590156071,Fri 22 May 2020 04:01:11 PM CEST,37,33,
1590156092,Fri 22 May 2020 04:01:32 PM CEST,49,34,
1590156130,Fri 22 May 2020 04:02:10 PM CEST,11,79,
1590156165,Fri 22 May 2020 04:02:45 PM CEST,17,43,
1590156209,Fri 22 May 2020 04:03:29 PM CEST,14,93,
1590156248,Fri 22 May 2020 04:04:08 PM CEST,13,76,
1590156288,Fri 22 May 2020 04:04:48 PM CEST,34,94,
1590156343,Fri 22 May 2020 04:05:43 PM CEST,0,99,
1590156385,Fri 22 May 2020 04:06:25 PM CEST,43,54,
1590156400,Fri 22 May 2020 04:06:40 PM CEST,29,69,
1590156400,Fri 22 May 2020 04:06:40 PM CEST,47,21,
1590156458,Fri 22 May 2020 04:07:38 PM CEST,0,19,
1590156472,Fri 22 May 2020 04:07:52 PM CEST,11,29,
1590156516,Fri 22 May 2020 04:08:36 PM CEST,25,1,
1590156572,Fri 22 May 2020 04:09:32 PM CEST,10,29,
1590156628,Fri 22 May 2020 04:10:28 PM CEST,9,54,
1590156686,Fri 22 May 2020 04:11:26 PM CEST,23,45,
1590156704,Fri 22 May 2020 04:11:44 PM CEST,48,10,
1590156763,Fri 22 May 2020 04:12:43 PM CEST,13,74,
1590156802,Fri 22 May 2020 04:13:22 PM CEST,46,72,
1590156815,Fri 22 May 2020 04:13:35 PM CEST,14,73,
1590156851,Fri 22 May 2020 04:14:11 PM CEST,46,57,
1590156894,Fri 22 May 2020 04:14:54 PM CEST,43,1,
1590156926,Fri 22 May 2020 04:15:26 PM CEST,35,76,
1590156983,Fri 22 May 2020 04:16:23 PM CEST,46,97,
1590157030,Fri 22 May 2020 04:17:10 PM CEST,48,48,
1590157082,Fri 22 May 2020 04:18:02 PM CEST,14,32,
1590157086,Fri 22 May 2020 04:18:06 PM CEST,33,12,
1590157136,Fri 22 May 2020 04:18:56 PM CEST,38,63,
1590157137,Fri 22 May 2020 04:18:57 PM CEST,10,48,
1590157166,Fri 22 May 2020 04:19:26 PM CEST,27,96,
1590157182,Fri 22 May 2020 04:19:42 PM CEST,2,48,
1590157217,Fri 22 May 2020 04:20:17 PM CEST,27,62,
